species,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Amphora absoluta,264,218,916,595,1,0,299,308,3,0
Amphora arenaria,0,0,5,0,140,159,1,0,181,117
Amphora aequalis,0,0,38,17,27,9,6,21,9,11
Amphora affinis,0,0,0,0,10,14,0,0,45,41
Amphora angulosa,0,0,6,1,14,4,5,4,27,31
Amphora angusta,0,0,0,0,29,18,0,0,17,19
Achnantheiopsis oestrupii,0,0,0,0,1,5,0,0,46,29
Achnantheiopsis pericava,0,0,0,1,23,41,0,0,3,2
Achnanthes clevei,0,0,0,0,19,38,0,0,0,2
Achnanthes sp.1,44,3,1,0,0,0,0,0,0,0
Achnanthes cassida,0,0,0,0,3,9,1,1,16,12
Corona tetragona,0,0,0,0,21,19,0,0,0,1
Cymbella turgidula,0,0,0,0,4,12,0,0,14,10
Navicula flagellifera,0,0,0,1,13,10,1,0,6,8
Navicula finnmarchica,0,0,0,0,0,5,0,0,12,20
Nitzschia flexa,0,0,0,0,12,9,0,0,4,7
Navicula fluviatilis,0,0,1,0,8,5,0,0,9,5
Nitzschia frustulum,1,6,1,6,0,0,0,1,0,0
Navicula reinhardtii,0,0,0,0,2,4,2,0,9,7
Navicula radiosa,0,0,0,0,4,0,0,0,7,13
Pinnularia peracrospheria,0,0,0,0,6,6,2,0,4,3
Pinnularia pulchra,0,0,0,0,11,4,0,0,0,5
Pinnularia perumbrosa,0,0,0,0,9,9,0,0,0,0
Pseudonitzschia pungens,0,0,0,0,9,9,0,0,0,0
Pinnularia rabenhorstii,0,0,0,0,8,7,0,0,1,1
Pinnularia rhombarea,0,0,0,0,1,6,0,0,3,5
Reimeria sinuata,0,0,0,0,5,6,0,0,0,3
Rossithidium silvahercynia,0,0,0,0,4,9,0,0,0,
